sku,nombre,marca,precio,costo,cantidad,sucursal,imagen
11856799,Eagle Sport 205/55R16 91V,Goodyear,2000,1500,20,Rojo Gomez,https://http2.mlstatic.com/D_NQ_NP_764592-MLA99442568452_112025-O.webp
11856799,Eagle Sport 205/55R16 91V,Goodyear,2000,1500,20,Morelos,https://http2.mlstatic.com/D_NQ_NP_764592-MLA99442568452_112025-O.webp
11856799,Eagle Sport 205/55R16 91V,Goodyear,2000,1500,15,Bacalar,https://http2.mlstatic.com/D_NQ_NP_764592-MLA99442568452_112025-O.webp
46047361,Ecsta PS31 215/45R17,Kumho,1600,1200,16,Rojo Gomez,https://www.misterllantas.com/media/catalog/product/cache/860b7a2c70b7e271930e7a9c3934662d/k/u/kumho_ps31_ecsta_4.jpg
46047361,Ecsta PS31 215/45R17,Kumho,1600,1200,12,Morelos,https://www.misterllantas.com/media/catalog/product/cache/860b7a2c70b7e271930e7a9c3934662d/k/u/kumho_ps31_ecsta_4.jpg
46047361,Ecsta PS31 215/45R17,Kumho,1600,1200,8,Bacalar,https://www.misterllantas.com/media/catalog/product/cache/860b7a2c70b7e271930e7a9c3934662d/k/u/kumho_ps31_ecsta_4.jpg
